activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300TKFZR4QBNE5D40,99999,OH,39163.0,39163953000.0,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,3,31,1,2,2,2,165000.0,74.976,7.25,1.433,2,9415.58,,7386.25,3298.94,,372,,,2,1,2,2,225000,2,1,1,1,1,,89.0,37,3,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,4799,5.0,79500,76.35,1748,2490,43
2023,549300TKFZR4QBNE5D40,24140,NC,37191.0,37191000104.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,135000.0,32.995,5.75,-0.383,2,6984.3,,5790.0,3900.0,,360,,,2,2,2,2,395000,1,1,3,5,1,,92.0,20%-<30%,1,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,5003,28.92,72600,119.5,1733,2122,29
2023,549300TKFZR4QBNE5D40,22180,NC,37085.0,37085071402.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Joint,Joint,Joint,1,71,2,2,1,1,2,2,2,195000.0,96.5,6.75,1.3,2,10285.8,,2707.77,,,372,,,2,1,2,2,205000,2,1,1,1,1,,75.0,50%-60%,3,1,2,,,,,1,12.0,,,,2,2,3,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,11784,49.86,74300,94.59,982,3389,18
2023,549300TKFZR4QBNE5D40,99999,TN,47117.0,47117955000.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,215000.0,85.195,7.25,1.933,2,16230.64,,9575.46,4537.56,,372,,,2,1,2,2,245000,2,1,1,1,1,,72.0,36,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,8820,10.74,69500,141.95,2498,3160,22
2023,549300TKFZR4QBNE5D40,31140,IN,18019.0,18019050803.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,1,71,2,2,31,1,2,2,2,205000.0,76.893,7.25,1.876,2,14311.85,,7352.59,2507.59,,372,,,2,1,2,2,255000,2,1,1,1,1,,88.0,45,1,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,2,2,2,65-74,45-54,Yes,No,1,1,1,,,,,10,,,,6069,8.78,89300,127.48,1735,1948,19
2023,549300TKFZR4QBNE5D40,99999,NC,37111.0,37111970904.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,165000.0,96.499,7.25,1.967,2,11456.68,,4504.5,123.36,,372,,,2,1,2,2,175000,2,1,1,1,1,,54.0,50%-60%,3,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,3063,16.32,70400,82.13,764,1185,27
2023,549300TKFZR4QBNE5D40,25620,MS,28111.0,28111950102.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,225000.0,96.5,7.25,1.997,2,15676.9,,8687.76,2995.53,,372,,,2,1,2,2,235000,1,1,3,5,1,,55.0,50%-60%,2,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,<25,55-64,No,Yes,1,1,1,,,,,10,,,,3629,21.38,78200,103.09,1284,1800,26
2023,549300TKFZR4QBNE5D40,99999,NC,37155.0,37155961801.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,American Indian or Alaska Native,Male,3,0,2,2,1,1,2,2,2,275000.0,96.5,,,3,,,,,,372,,,2,1,2,2,275000,2,1,1,1,1,,70.0,39,3,10,2,,,,,5,,,,,2,4,1,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,6,3.0,,,4444,94.85,70400,59.03,1209,1739,33
2023,549300TKFZR4QBNE5D40,46660,GA,13185.0,13185010203.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,165000.0,93.285,7.25,1.754,2,12980.64,,6665.52,4775.52,,360,,,2,2,2,2,175000,2,1,1,1,1,,104.0,20%-<30%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,5696,28.35,65900,108.14,1169,1615,23
2023,549300TKFZR4QBNE5D40,99999,TN,47049.0,47049965100.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,255000.0,93.0,6.75,1.354,2,15501.74,,8094.37,2507.62,,372,,,2,1,2,2,265000,2,1,1,1,1,,59.0,45,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,4417,6.84,69500,65.0,854,2004,41
2023,549300TKFZR4QBNE5D40,19740,CO,8059.0,8059012026.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,275000.0,80.0,6.875,0.608,2,4050.8,,1890.0,,345.0,360,,,2,2,2,2,345000,1,1,3,5,1,,116.0,20%-<30%,1,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,3495,10.39,125500,123.19,1148,1567,44
2023,549300TKFZR4QBNE5D40,99999,TN,47107.0,47107970601.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,195000.0,89.0,7.25,1.974,2,15783.82,,9103.4,4408.4,,372,,,2,1,2,2,215000,2,1,1,1,1,,57.0,50%-60%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,2851,8.42,69500,122.69,943,1293,43
2023,549300TKFZR4QBNE5D40,99999,FL,12107.0,12107950201.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,1,71,2,2,31,1,2,2,2,195000.0,92.993,6.375,0.904,2,11841.21,,4591.88,,,372,,,2,1,2,2,205000,2,1,1,1,1,,40.0,49,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,1,,,,,10,,,,5835,17.29,65800,63.49,1595,2882,36
2023,549300TKFZR4QBNE5D40,99999,SC,45043.0,45043920702.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,185000.0,95.0,6.875,1.119,2,7721.73,,5230.63,3835.63,,360,,,2,2,2,2,195000,1,1,3,5,1,,131.0,30%-<36%,1,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,1,1,1,,,,,10,,,,3405,46.99,65200,109.5,677,1234,47
2023,549300TKFZR4QBNE5D40,39580,NC,37069.0,37069060301.0,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,3,1,1,2,2,2,305000.0,99.421,7.25,1.57,2,22594.89,,9450.18,3024.07,,372,,,2,1,2,2,295000,2,1,1,1,1,,95.0,37,2,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,1,,,,,10,,,,5514,47.52,117000,63.93,1159,2027,47
2023,549300TKFZR4QBNE5D40,47260,VA,51073.0,51073100102.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,3,1,1,2,2,2,425000.0,100.0,,,3,,,,,,360,,,2,2,2,2,415000,1,1,3,5,1,,100.0,45,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,6,3.0,,,4655,20.11,99800,104.27,1557,2002,35
2023,549300TKFZR4QBNE5D40,43900,SC,45083.0,45083023806.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Black or African American,Joint,3,0,2,2,1,1,2,2,2,235000.0,82.818,,,3,,,,,,372,,,2,1,2,2,205000,2,1,1,1,1,,75.0,30%-<36%,3,2,3,,,,,3,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,25-34,35-44,No,No,1,1,1,,,,,4,,,,2618,27.31,80200,68.23,502,636,29
2023,549300TKFZR4QBNE5D40,99999,TN,47121.0,47121960200.0,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,3,1,1,2,2,2,255000.0,100.0,7.25,1.35,2,12895.9,,10829.84,5108.48,,372,,,2,1,2,2,255000,2,1,1,1,1,,84.0,44,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,4949,7.5,69500,99.75,1344,2046,32
2023,549300TKFZR4QBNE5D40,15500,NC,37001.0,37001021901.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,31,1,2,2,2,215000.0,78.676,6.75,1.416,2,16312.67,,9454.9,4354.9,,372,,,2,1,2,2,275000,2,1,1,1,1,,65.0,50%-60%,1,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,35-44,No,No,1,1,1,,,,,10,,,,4630,17.43,78800,122.16,1645,2036,29
2023,549300TKFZR4QBNE5D40,99999,SC,45071.0,45071950204.0,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Joint,White,Joint,1,71,2,3,1,1,2,2,2,205000.0,100.0,7.25,1.268,2,9817.75,,6998.25,2043.3,,372,,,2,1,2,2,205000,2,1,1,1,1,,93.0,30%-<36%,2,1,2,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,4003,35.62,65200,114.06,891,1306,39
2023,549300TKFZR4QBNE5D40,99999,NC,37039.0,37039930603.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,1,31,1,2,2,2,255000.0,80.0,7.25,1.219,2,11616.85,,8263.0,2560.0,,372,,,2,1,2,2,325000,2,1,1,1,1,,86.0,38,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,1872,8.07,70400,60.27,732,1635,30
2023,549300TKFZR4QBNE5D40,11700,NC,37021.0,37021002401.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,265000.0,58.533,6.75,1.455,2,19504.44,,10870.68,5264.58,,372,,,2,1,2,2,445000,2,1,1,1,1,,76.0,30%-<36%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,3554,14.88,87600,101.39,886,1587,36
2023,549300TKFZR4QBNE5D40,26900,IN,18097.0,18097361401.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,3,0,2,2,31,1,2,2,2,155000.0,36.939,,,3,,,,,,360,,,2,2,2,2,375000,1,1,3,5,1,,53.0,39,2,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,1,,,,,3,,,,5451,55.86,97300,0.0,1405,1936,22
2023,549300TKFZR4QBNE5D40,12060,GA,13231.0,13231010300.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,275000.0,96.499,6.75,1.464,2,19182.94,,10512.24,5595.08,,372,,,2,1,2,2,285000,2,1,1,1,1,,82.0,30%-<36%,1,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,<25,No,No,1,1,1,,,,,10,,,,3981,16.93,102900,84.3,1270,1672,27
2023,549300TKFZR4QBNE5D40,99999,FL,12133.0,12133970303.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,3,0,2,2,31,1,2,2,2,215000.0,96.5,,,3,,,,,,372,,,2,1,2,2,215000,2,1,1,1,1,,79.0,50%-60%,2,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,2,,,,4159,16.01,65800,99.27,1428,2074,32
2023,549300TKFZR4QBNE5D40,99999,SC,45029.0,45029970301.0,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Joint,1,71,2,3,1,1,2,2,2,215000.0,99.836,6.75,0.565,2,12011.35,,9537.5,4370.0,,372,,,2,1,2,2,215000,2,1,1,1,1,,129.0,20%-<30%,2,2,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,1,1,,,,,10,,,,3962,41.07,65200,65.75,1267,1990,26
2023,549300TKFZR4QBNE5D40,42540,PA,42079.0,42079215702.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,185000.0,77.174,7.25,1.853,2,15243.58,,7713.11,3160.61,,372,,,2,1,2,2,235000,2,1,1,1,1,,48.0,50%-60%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,2667,6.82,86500,111.47,944,1185,52
2023,549300TKFZR4QBNE5D40,99999,NC,37099.0,37099950800.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,White,Male,1,71,2,2,31,1,2,2,2,285000.0,70.939,6.75,1.117,2,20218.19,,11770.32,5687.82,,372,,,2,1,2,2,395000,2,1,1,1,1,,101.0,45,2,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,2224,18.08,70400,113.76,518,2836,27
2023,549300TKFZR4QBNE5D40,34820,SC,45051.0,45051020301.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,215000.0,96.5,6.75,1.441,2,14617.67,,7096.15,2085.25,,372,,,2,1,2,2,215000,2,1,1,1,1,,68.0,49,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,4367,21.34,79000,81.1,1231,1775,27
2023,549300TKFZR4QBNE5D40,16740,SC,45023.0,45023020800.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Male,1,71,2,2,1,1,2,2,2,225000.0,96.5,6.75,1.12,2,15058.5,,6882.43,1602.67,,372,,,2,1,2,2,235000,2,1,1,1,1,,50.0,48,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,5285,30.27,98700,67.72,1766,2312,29
2023,549300TKFZR4QBNE5D40,99999,TX,48213.0,48213950700.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,31,1,2,2,2,205000.0,94.34,7.25,2.007,2,16667.37,,8196.88,3306.88,,372,,,2,1,2,2,215000,2,1,1,1,1,,144.0,50%-60%,2,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,55-64,65-74,No,Yes,1,1,1,,,,,10,,,,4487,22.89,73200,74.64,1380,2277,25
2023,549300TKFZR4QBNE5D40,99999,TX,48075.0,48075950200.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,205000.0,88.886,6.75,1.395,2,17603.92,,8801.74,3844.24,,372,,,2,1,2,2,225000,2,1,1,1,1,,82.0,40,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,4647,38.99,73200,71.91,1021,2194,58
2023,549300TKFZR4QBNE5D40,99999,NC,37181.0,37181960901.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,225000.0,96.5,6.625,1.471,2,15638.45,,8665.02,6775.02,,360,,,2,2,2,2,235000,2,1,1,1,1,,61.0,45,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,2860,66.75,70400,121.27,802,1232,26
2023,549300TKFZR4QBNE5D40,25940,SC,45053.0,45053950100.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,1,1,2,2,2,205000.0,96.5,6.75,1.163,2,12824.43,,4898.16,,,372,,,2,1,2,2,215000,2,1,1,1,1,,71.0,50%-60%,2,2,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,5047,54.15,103300,52.31,1416,2417,30
2023,549300TKFZR4QBNE5D40,99999,SC,45089.0,45089970900.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,295000.0,100.0,,,3,,,,,,372,,,2,1,2,2,255000,2,1,1,1,1,,131.0,36,3,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,1,1,1,,,,,4,6.0,,,2538,45.23,65200,102.74,822,1126,33
2023,549300TKFZR4QBNE5D40,99999,VA,51137.0,51137110108.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,1,1,2,2,2,455000.0,96.5,6.125,0.533,2,26682.16,,14872.61,12982.61,,360,,,2,2,2,2,455000,1,1,3,5,1,,90.0,50%-60%,3,10,2,,,,,5,,,,,2,4,3,5.0,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,6881,30.53,73800,183.97,2288,2421,16
