action_taken,purchaser_type,loan_type,loan_purpose,lien_status,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,total_loan_costs,total_points_and_fees,origination_charges,discount_points,loan_term,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_race-1,co-applicant_race-1,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,aus-1,denial_reason-1,ltv_category,dti_category,loan_term_category
,71,3,31,1,165000.0,74.976,7.25,1.433,9415.58,0.0,7386.25,3298.94,372.0,225000,2,1,1,1,1,89.0,37.0,3,2,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,10,Low,30-50,Long
,71,1,1,1,135000.0,32.995,5.75,-0.383,6984.3,0.0,5790.0,3900.0,360.0,395000,1,1,3,5,1,92.0,Missing,1,3,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,Low,Missing,Long
,71,2,1,1,195000.0,96.5,6.75,1.3,10285.8,0.0,2707.77,300.0,372.0,205000,2,1,1,1,1,75.0,Missing,3,1,2.0,1.0,3.0,5.0,35-44,35-44,No,No,1,10,High,Missing,Long
,71,2,31,1,215000.0,85.195,7.25,1.933,16230.64,0.0,9575.46,4537.56,372.0,245000,2,1,1,1,1,72.0,36.0,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Medium,30-50,Long
,71,2,31,1,205000.0,76.893,7.25,1.876,14311.85,0.0,7352.59,2507.59,372.0,255000,2,1,1,1,1,88.0,45.0,1,2,2.0,2.0,5.0,5.0,65-74,45-54,Yes,No,1,10,Low,30-50,Long
,71,2,1,1,165000.0,96.499,7.25,1.967,11456.68,0.0,4504.5,123.36,372.0,175000,2,1,1,1,1,54.0,Missing,3,1,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,2,1,1,225000.0,96.5,7.25,1.997,15676.9,0.0,8687.76,2995.53,372.0,235000,1,1,3,5,1,55.0,Missing,2,1,2.0,2.0,5.0,5.0,<25,55-64,No,Yes,1,10,High,Missing,Long
,0,2,1,1,275000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,275000,2,1,1,1,1,70.0,39.0,3,10,2.0,5.0,1.0,8.0,35-44,9999,No,No Co-Applicant,1,6,High,30-50,Long
,71,2,1,1,165000.0,93.285,7.25,1.754,12980.64,0.0,6665.52,4775.52,360.0,175000,2,1,1,1,1,104.0,Missing,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,31,1,255000.0,93.0,6.75,1.354,15501.74,0.0,8094.37,2507.62,372.0,265000,2,1,1,1,1,59.0,45.0,1,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,1,1,275000.0,80.0,6.875,0.608,4050.8,0.0,1890.0,300.0,360.0,345000,1,1,3,5,1,116.0,Missing,1,3,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,Low,Missing,Long
,71,2,1,1,195000.0,89.0,7.25,1.974,15783.82,0.0,9103.4,4408.4,372.0,215000,2,1,1,1,1,57.0,Missing,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Medium,Missing,Long
,71,2,31,1,195000.0,92.993,6.375,0.904,11841.21,0.0,4591.88,300.0,372.0,205000,2,1,1,1,1,40.0,49.0,1,10,2.0,5.0,5.0,8.0,65-74,9999,Yes,No Co-Applicant,1,10,High,30-50,Long
,71,1,1,1,185000.0,95.0,6.875,1.119,7721.73,0.0,5230.63,3835.63,360.0,195000,1,1,3,5,1,131.0,Missing,1,2,2.0,2.0,5.0,5.0,55-64,55-64,No,No,1,10,High,Missing,Long
,71,3,1,1,305000.0,99.421,7.25,1.57,22594.89,0.0,9450.18,3024.07,372.0,295000,2,1,1,1,1,95.0,37.0,2,2,2.0,2.0,5.0,5.0,65-74,65-74,Yes,Yes,1,10,High,30-50,Long
,0,3,1,1,425000.0,100.0,15.0,3.0,0.0,0.0,0.0,0.0,360.0,415000,1,1,3,5,1,100.0,45.0,1,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,6,High,30-50,Long
,0,2,1,1,235000.0,82.818,15.0,3.0,0.0,0.0,0.0,0.0,372.0,205000,2,1,1,1,1,75.0,Missing,3,2,3.0,3.0,3.0,3.0,25-34,35-44,No,No,1,4,Medium,Missing,Long
,71,3,1,1,255000.0,100.0,7.25,1.35,12895.9,0.0,10829.84,5108.48,372.0,255000,2,1,1,1,1,84.0,44.0,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,31,1,215000.0,78.676,6.75,1.416,16312.67,0.0,9454.9,4354.9,372.0,275000,2,1,1,1,1,65.0,Missing,1,1,2.0,2.0,5.0,5.0,25-34,35-44,No,No,1,10,Low,Missing,Long
,71,3,1,1,205000.0,100.0,7.25,1.268,9817.75,0.0,6998.25,2043.3,372.0,205000,2,1,1,1,1,93.0,Missing,2,1,2.0,1.0,5.0,5.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,1,31,1,255000.0,80.0,7.25,1.219,11616.85,0.0,8263.0,2560.0,372.0,325000,2,1,1,1,1,86.0,38.0,3,3,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,10,Low,30-50,Long
,71,2,31,1,265000.0,58.533,6.75,1.455,19504.44,0.0,10870.68,5264.58,372.0,445000,2,1,1,1,1,76.0,Missing,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Low,Missing,Long
,0,2,31,1,155000.0,36.939,15.0,3.0,0.0,0.0,0.0,0.0,360.0,375000,1,1,3,5,1,53.0,39.0,2,10,3.0,5.0,5.0,8.0,65-74,9999,Yes,No Co-Applicant,1,3,Low,30-50,Long
,71,2,1,1,275000.0,96.499,6.75,1.464,19182.94,0.0,10512.24,5595.08,372.0,285000,2,1,1,1,1,82.0,Missing,1,1,2.0,2.0,5.0,5.0,25-34,<25,No,No,1,10,High,Missing,Long
,0,2,31,1,215000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,215000,2,1,1,1,1,79.0,Missing,2,1,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,2,High,Missing,Long
,71,3,1,1,215000.0,99.836,6.75,0.565,12011.35,0.0,9537.5,4370.0,372.0,215000,2,1,1,1,1,129.0,Missing,2,2,2.0,2.0,3.0,3.0,55-64,55-64,Yes,Yes,1,10,High,Missing,Long
,71,2,31,1,185000.0,77.174,7.25,1.853,15243.58,0.0,7713.11,3160.61,372.0,235000,2,1,1,1,1,48.0,Missing,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Low,Missing,Long
,71,2,31,1,285000.0,70.939,6.75,1.117,20218.19,0.0,11770.32,5687.82,372.0,395000,2,1,1,1,1,101.0,45.0,2,10,3.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,71,2,1,1,215000.0,96.5,6.75,1.441,14617.67,0.0,7096.15,2085.25,372.0,215000,2,1,1,1,1,68.0,49.0,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,225000.0,96.5,6.75,1.12,15058.5,0.0,6882.43,1602.67,372.0,235000,2,1,1,1,1,50.0,48.0,3,10,2.0,5.0,3.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,31,1,205000.0,94.34,7.25,2.007,16667.37,0.0,8196.88,3306.88,372.0,215000,2,1,1,1,1,144.0,Missing,2,3,2.0,2.0,5.0,5.0,55-64,65-74,No,Yes,1,10,High,Missing,Long
,71,2,31,1,205000.0,88.886,6.75,1.395,17603.92,0.0,8801.74,3844.24,372.0,225000,2,1,1,1,1,82.0,40.0,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Medium,30-50,Long
,71,2,1,1,225000.0,96.5,6.625,1.471,15638.45,0.0,8665.02,6775.02,360.0,235000,2,1,1,1,1,61.0,45.0,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,205000.0,96.5,6.75,1.163,12824.43,0.0,4898.16,300.0,372.0,215000,2,1,1,1,1,71.0,Missing,2,2,2.0,2.0,3.0,3.0,25-34,25-34,No,No,1,10,High,Missing,Long
,0,2,1,1,295000.0,100.0,15.0,3.0,0.0,0.0,0.0,0.0,372.0,255000,2,1,1,1,1,131.0,36.0,3,2,2.0,2.0,5.0,5.0,55-64,55-64,No,No,1,4,High,30-50,Long
,71,2,1,1,455000.0,96.5,6.125,0.533,26682.16,0.0,14872.61,12982.61,360.0,455000,1,1,3,5,1,90.0,Missing,3,10,2.0,5.0,3.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,235000.0,92.35,6.75,1.124,16598.89,0.0,7922.66,2611.08,372.0,245000,2,1,1,1,1,51.0,Missing,1,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,0,2,1,1,425000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,435000,1,1,3,5,1,103.0,Missing,3,3,1.0,1.0,5.0,5.0,55-64,<25,No,No,1,6,High,Missing,Long
,71,1,31,1,195000.0,48.875,6.875,0.656,9444.15,0.0,6777.5,2932.5,372.0,405000,1,1,3,5,1,73.0,38.0,3,3,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,10,Low,30-50,Long
,71,1,1,1,155000.0,45.0,6.25,-0.016,9021.23,0.0,5770.13,3880.13,360.0,345000,2,1,1,1,1,57.0,Missing,3,10,2.0,5.0,5.0,8.0,55-64,9999,No,No Co-Applicant,1,10,Low,Missing,Long
,71,2,1,1,205000.0,96.5,6.75,1.098,13055.25,0.0,5473.67,519.21,372.0,215000,2,1,1,1,1,47.0,49.0,3,10,2.0,5.0,3.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,275000.0,91.186,7.0,1.442,20763.92,0.0,11579.42,5577.92,372.0,305000,2,1,1,1,1,86.0,Missing,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,195000.0,96.5,6.75,1.072,10237.71,0.0,4590.18,2700.18,360.0,205000,1,1,3,5,1,127.0,42.0,2,3,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,High,30-50,Long
,0,4,1,1,285000.0,100.0,15.0,3.0,0.0,0.0,0.0,0.0,360.0,285000,2,1,1,1,1,101.0,36.0,2,2,2.0,2.0,5.0,5.0,25-34,25-34,No,No,4,9,High,30-50,Long
,0,2,31,1,315000.0,90.0,15.0,3.0,0.0,0.0,0.0,0.0,372.0,315000,1,1,3,5,1,133.0,39.0,1,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,3,Medium,30-50,Long
,71,2,1,1,225000.0,96.49,6.75,1.417,14304.22,0.0,6593.8,1321.52,372.0,235000,2,1,1,1,1,115.0,40.0,3,3,2.0,2.0,5.0,5.0,35-44,55-64,No,No,1,10,High,30-50,Long
,71,2,1,1,265000.0,96.5,6.75,1.107,19275.95,0.0,10526.7,4757.52,372.0,265000,2,1,1,1,1,59.0,Missing,3,1,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,2,1,1,315000.0,90.707,6.75,1.083,24038.19,0.0,14158.34,6212.84,372.0,335000,1,1,3,5,1,75.0,48.0,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,145000.0,96.5,6.875,1.149,9428.95,0.0,4467.45,2577.45,360.0,155000,1,1,3,5,1,52.0,Missing,3,10,1.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,175000.0,96.499,7.25,1.86,11167.43,0.0,4529.94,300.0,372.0,185000,2,1,1,1,1,66.0,36.0,2,3,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,High,30-50,Long
,71,2,1,1,195000.0,96.5,6.75,1.248,14636.11,0.0,7119.0,2387.85,372.0,195000,2,1,1,1,1,55.0,Missing,3,3,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,1,1,1,305000.0,63.471,6.875,0.763,16801.65,0.0,13809.98,6040.0,372.0,475000,1,1,3,5,1,123.0,Missing,2,3,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,10,Low,Missing,Long
,0,3,1,1,215000.0,100.0,15.0,3.0,0.0,0.0,0.0,0.0,360.0,195000,1,1,3,5,1,50.0,Missing,3,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,4,High,Missing,Long
,71,3,1,1,275000.0,100.0,6.125,-0.414,3240.5,0.0,1890.0,300.0,360.0,275000,1,1,3,5,1,74.0,Missing,3,10,2.0,5.0,5.0,8.0,55-64,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,405000.0,96.5,6.875,1.684,28374.27,0.0,17954.78,8102.06,372.0,415000,1,1,3,5,1,124.0,45.0,2,2,3.0,3.0,5.0,5.0,45-54,45-54,No,No,1,10,High,30-50,Long
,71,1,32,1,135000.0,59.678,7.0,0.548,3761.49,0.0,2303.57,413.57,360.0,225000,1,1,3,5,1,97.0,Missing,2,10,2.0,5.0,5.0,8.0,65-74,9999,Yes,No Co-Applicant,1,10,Low,Missing,Long
,71,2,1,1,275000.0,96.499,6.75,0.934,17724.47,0.0,8284.58,3331.35,372.0,285000,2,1,1,1,1,91.0,Missing,3,2,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,3,31,1,515000.0,85.618,7.25,0.974,22965.82,0.0,20031.91,8974.89,372.0,595000,1,1,3,5,1,117.0,Missing,2,2,2.0,2.0,5.0,5.0,55-64,45-54,No,No,1,10,Medium,Missing,Long
,0,2,1,1,185000.0,89.225,15.0,3.0,0.0,0.0,0.0,0.0,372.0,205000,2,1,1,1,1,49.0,37.0,2,10,2.0,5.0,3.0,8.0,65-74,9999,Yes,No Co-Applicant,1,3,Medium,30-50,Long
,71,2,1,1,255000.0,96.5,6.75,1.285,19515.08,0.0,10815.06,5137.9,372.0,265000,2,1,1,1,1,55.0,Missing,1,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,Missing,Long
,0,2,1,1,235000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,360.0,245000,1,1,3,5,1,60.0,Missing,3,1,2.0,2.0,3.0,3.0,45-54,55-64,No,Yes,1,2,High,Missing,Long
,71,2,1,1,235000.0,96.499,6.75,1.22,16010.72,0.0,7719.45,2356.09,372.0,235000,2,1,1,1,1,66.0,47.0,2,2,2.0,2.0,5.0,5.0,55-64,55-64,No,No,1,10,High,30-50,Long
,0,2,1,1,155000.0,96.499,15.0,3.0,0.0,0.0,0.0,0.0,372.0,145000,2,1,1,1,1,49.0,40.0,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,4,High,30-50,Long
,71,4,1,1,245000.0,99.641,6.375,0.853,14825.49,0.0,7859.58,2411.31,360.0,245000,2,1,1,1,1,79.0,37.0,1,2,2.0,2.0,5.0,5.0,<25,<25,No,No,4,10,High,30-50,Long
,0,2,31,1,225000.0,78.447,15.0,3.0,0.0,0.0,0.0,0.0,372.0,265000,2,1,1,1,1,59.0,45.0,1,10,2.0,5.0,5.0,8.0,<25,9999,No,No Co-Applicant,2,4,Low,30-50,Long
,71,3,31,1,255000.0,67.138,7.25,0.98,11633.86,0.0,8268.1,2551.24,372.0,385000,2,1,1,1,1,88.0,37.0,3,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,71,2,1,1,165000.0,89.064,6.75,0.855,12029.22,0.0,4755.42,352.92,372.0,185000,2,1,1,1,1,33.0,48.0,1,10,2.0,5.0,5.0,8.0,<25,9999,No,No Co-Applicant,1,10,Medium,30-50,Long
,71,1,31,1,175000.0,62.731,6.75,0.609,11195.05,0.0,8221.0,3825.0,372.0,275000,2,1,1,1,1,94.0,Missing,2,2,2.0,2.0,5.0,5.0,55-64,55-64,No,No,1,10,Low,Missing,Long
,71,2,31,1,175000.0,78.132,7.25,1.486,11866.25,0.0,5839.7,1384.88,372.0,215000,2,1,1,1,1,103.0,Missing,3,2,2.0,1.0,5.0,6.0,<25,65-74,No,Yes,1,10,Low,Missing,Long
,0,2,1,1,165000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,165000,2,1,1,1,1,65.0,Missing,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,2,4,High,Missing,Long
,71,3,1,1,185000.0,92.848,6.875,0.615,10318.01,0.0,6625.25,1894.1,372.0,205000,2,1,1,1,1,65.0,Missing,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,1,31,1,325000.0,88.426,7.125,0.878,11909.87,0.0,9093.89,3976.34,372.0,365000,1,1,3,5,1,116.0,39.0,1,3,2.0,2.0,5.0,5.0,35-44,45-54,No,No,1,10,Medium,30-50,Long
,71,3,1,1,555000.0,100.0,6.0,-0.491,14245.75,0.0,11602.5,9712.5,360.0,555000,1,1,3,5,1,158.0,Missing,1,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,0,1,31,1,65000.0,21.687,15.0,3.0,0.0,0.0,0.0,0.0,360.0,335000,1,1,3,5,1,17.0,49.0,2,10,2.0,5.0,5.0,8.0,55-64,9999,No,No Co-Applicant,2,2,Low,30-50,Long
,0,3,1,1,285000.0,100.0,15.0,3.0,0.0,0.0,0.0,0.0,360.0,275000,2,1,1,1,1,62.0,44.0,3,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,1,High,30-50,Long
,71,2,1,1,325000.0,91.984,6.875,1.238,20504.75,0.0,11546.0,3256.0,372.0,345000,1,1,3,5,1,89.0,44.0,1,10,2.0,5.0,3.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,3,1,1,295000.0,100.0,6.625,0.365,14042.64,0.0,5822.54,5822.54,360.0,285000,1,1,3,5,1,48.0,Missing,2,10,3.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,215000.0,92.9,6.75,0.925,14225.02,0.0,7228.91,2157.83,372.0,225000,2,1,1,1,1,47.0,46.0,2,10,2.0,5.0,5.0,8.0,65-74,9999,Yes,No Co-Applicant,1,10,High,30-50,Long
,0,2,1,1,195000.0,96.499,15.0,3.0,0.0,0.0,0.0,0.0,372.0,195000,2,1,1,1,1,68.0,Missing,3,1,3.0,3.0,3.0,3.0,35-44,45-54,No,No,1,1,High,Missing,Long
,0,2,1,1,235000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,215000,2,1,1,1,1,107.0,38.0,9,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,4,High,30-50,Long
,71,3,31,1,245000.0,99.335,6.75,0.658,10478.34,0.0,8238.5,2479.5,372.0,245000,1,1,3,5,1,68.0,39.0,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,225000.0,96.5,7.75,2.104,10648.29,0.0,4995.22,3105.22,360.0,235000,1,1,3,5,1,102.0,46.0,1,2,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,High,30-50,Long
,71,3,1,1,265000.0,100.0,7.5,1.948,23373.92,0.0,10518.14,4645.92,372.0,255000,2,1,1,1,1,156.0,37.0,3,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,0,3,1,1,275000.0,99.929,15.0,3.0,0.0,0.0,0.0,0.0,372.0,235000,2,1,1,1,1,70.0,Missing,3,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,4,High,Missing,Long
,71,2,1,1,215000.0,96.5,6.75,1.367,16775.17,0.0,9248.3,4235.96,372.0,215000,2,1,1,1,1,61.0,36.0,3,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,31,1,265000.0,89.99,6.75,1.001,16426.01,0.0,9157.08,2052.08,372.0,285000,1,1,3,5,1,80.0,38.0,2,1,2.0,2.0,5.0,5.0,<25,<25,No,No,1,10,Medium,30-50,Long
,71,2,1,1,175000.0,96.5,6.375,0.77,11453.98,0.0,4423.13,300.0,372.0,175000,2,1,1,1,1,42.0,Missing,2,10,3.0,5.0,3.0,8.0,<25,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,205000.0,96.5,7.25,1.848,12390.99,0.0,4934.94,300.0,372.0,215000,2,1,1,1,1,103.0,Missing,3,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,165000.0,96.5,5.875,0.432,12803.57,0.0,7788.35,5900.35,360.0,165000,1,1,3,5,1,37.0,Missing,3,10,3.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,245000.0,96.5,6.75,1.056,15233.38,0.0,5468.09,300.0,372.0,245000,2,1,1,1,1,82.0,Missing,3,10,2.0,5.0,5.0,8.0,55-64,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,235000.0,96.5,6.5,1.003,17150.31,0.0,10137.86,8247.86,360.0,245000,1,1,3,5,1,78.0,Missing,3,2,2.0,2.0,5.0,5.0,<25,25-34,No,No,1,10,High,Missing,Long
,71,2,1,1,225000.0,68.323,7.25,1.485,14438.31,0.0,8540.78,2475.78,372.0,325000,1,1,3,5,1,105.0,39.0,3,2,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,Low,30-50,Long
,0,2,1,1,405000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,360.0,415000,1,1,3,5,1,80.0,Missing,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,1,High,Missing,Long
,71,3,1,1,485000.0,99.105,6.875,0.637,23951.91,0.0,20166.52,9683.26,372.0,485000,1,1,3,5,1,146.0,Missing,1,3,2.0,2.0,3.0,3.0,35-44,35-44,No,No,1,10,High,Missing,Long
,71,3,1,1,265000.0,100.0,7.0,0.589,8073.95,0.0,7230.0,5340.0,360.0,265000,2,1,1,1,1,62.0,Missing,2,10,1.0,5.0,3.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,215000.0,96.5,6.75,1.24,16685.34,0.0,9383.15,4322.34,372.0,225000,2,1,1,1,1,74.0,49.0,1,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,225000.0,95.003,6.75,1.361,18334.19,0.0,9733.88,4515.5,372.0,235000,2,1,1,1,1,83.0,Missing,3,3,1.0,1.0,5.0,6.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,2,1,1,325000.0,96.5,6.375,0.852,22353.71,0.0,11077.31,4386.53,372.0,335000,2,1,1,1,1,76.0,49.0,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,31,1,195000.0,68.19,6.375,0.199,12496.1,0.0,8763.36,3955.0,372.0,295000,2,1,1,1,1,125.0,Missing,1,2,2.0,2.0,5.0,5.0,45-54,55-64,No,No,1,10,Low,Missing,Long
,71,2,1,1,165000.0,91.481,6.875,1.479,14186.13,0.0,7250.47,3035.33,372.0,175000,2,1,1,1,1,36.0,46.0,3,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,31,1,465000.0,71.906,7.125,1.628,31631.32,0.0,17785.34,6691.34,372.0,645000,1,1,3,5,1,137.0,Missing,2,1,1.0,1.0,6.0,6.0,45-54,45-54,No,No,1,10,Low,Missing,Long
,71,2,1,1,235000.0,96.5,6.625,0.866,15057.76,0.0,7486.76,5596.76,360.0,245000,1,1,3,5,1,52.0,44.0,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,215000.0,84.167,6.75,1.108,16685.78,0.0,9502.64,4390.26,372.0,255000,2,1,1,1,1,78.0,36.0,3,1,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,10,Medium,30-50,Long
