ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-02-22,42,15000,542,Employed,Bachelor,18,10178,24,Married,2,Own,754,0.35681842662868274,1,2,0.40652127156724266,0,Debt Consolidation,0,29,16,856,1246,51531,62621,1250.0,0.8652978618512475,6,4186,0.21417799999999998,0.2364312463363422,536.310833745257,1.0322486669962057,0,58.0
2018-02-23,25,70535,526,Employed,Bachelor,1,33708,36,Married,4,Mortgage,459,0.1490588500333779,2,0,0.07522898685875475,0,Other,0,31,13,2074,7718,43654,25304,5877.916666666667,0.5047190718062691,4,18350,0.25570800000000005,0.26002672403405186,1358.1642240235276,0.3091510695155927,0,49.0
2018-02-24,31,56112,519,Unemployed,Bachelor,6,22867,24,Divorced,0,Own,578,0.46740381721193774,1,2,0.2721902709020586,0,Debt Consolidation,0,21,7,5404,7473,19146,2818,4676.0,0.9581348959060809,2,16328,0.238367,0.24499797910863974,1214.7151440913933,0.3833864722180054,0,57.0
2018-02-25,52,27937,632,Employed,Bachelor,33,15359,60,Married,3,Own,380,0.23681229783884122,5,2,0.16348579321570791,0,Auto,0,25,6,5095,474,153072,13084,2328.0833333333335,0.6711724757275181,6,139988,0.204359,0.21127766854623076,416.61719853679824,0.34217726965821593,0,47.0
2018-02-26,31,96651,493,Employed,High School,8,89198,60,Married,0,Mortgage,489,0.10590744601213777,2,0,0.2334319119820777,0,Auto,0,13,11,10432,1910,96777,96961,8054.25,0.5462646677537698,4,6482,0.347698,0.3321296548204209,3064.3360500838858,0.4411752863499253,0,50.0
2018-02-27,62,28230,660,Employed,Bachelor,40,14979,60,Single,4,Mortgage,403,0.46153527808060374,2,1,0.42995971336704963,0,Debt Consolidation,0,30,20,174,2406,24392,14296,2352.5,0.7986681507805493,2,10096,0.189979,0.2088994603735671,404.3055055254077,0.34316918407031144,0,53.0
2018-02-28,58,95287,663,Employed,Doctorate,37,24238,36,Divorced,1,Mortgage,453,0.12610476221004333,4,1,0.030408001031670573,0,Other,0,18,3,7512,2689,39505,14558,7940.583333333333,0.8093864848489453,5,24947,0.177738,0.18277052513467115,879.6341156927629,0.16782572007003216,1,36.0
2018-03-01,18,95862,616,Employed,Associate,0,26853,60,Married,0,Other,719,0.14748450495217247,2,0,0.5705702952514852,0,Home,0,22,22,7804,486,117927,43319,7988.5,0.9030789041073493,3,74608,0.22385300000000002,0.2574816489856961,799.9927738624252,0.1901474336687019,0,51.0
2018-03-02,32,47434,466,Employed,Associate,7,5227,36,Divorced,4,Mortgage,252,0.34986153360505035,4,0,0.469239510163989,0,Other,1,16,6,8011,253,9914,41895,3952.8333333333335,0.9851312270045484,1,6863,0.257227,0.29679039107599847,220.976502435665,0.11965505816983556,0,65.0
2018-03-03,41,115050,619,Employed,Associate,23,9921,24,Married,2,Mortgage,764,0.11194749543879609,5,0,0.24256558360508593,0,Auto,0,22,6,2381,1037,213283,111038,9587.5,0.8498482593272578,4,102245,0.17542100000000002,0.16254468448246562,486.9701517718231,0.13047928571283682,1,36.0
2018-03-04,60,33858,644,Employed,Bachelor,36,17104,84,Single,0,Rent,356,0.19978255671444528,0,1,0.29315862771448437,0,Education,0,15,20,10177,1248,213072,54308,2821.5,0.7355280852370797,2,158764,0.22010400000000002,0.246750040701847,429.3825009461591,0.27835637106013084,0,45.0
2018-03-05,31,24616,558,Unemployed,Bachelor,7,43286,96,Married,1,Own,546,0.1629150264212967,3,1,0.13816496258053243,0,Debt Consolidation,0,23,25,3063,807,18021,11450,2051.3333333333335,0.4053416612548531,3,6571,0.299286,0.2946541804986007,1177.5829046780436,0.8402256603890365,0,54.0
2018-03-06,41,79030,595,Unemployed,Master,18,17221,12,Married,1,Rent,477,0.27887029496360993,3,1,0.6897410480010973,0,Debt Consolidation,0,22,27,5890,3940,150748,28611,6585.833333333333,0.8408076765520585,7,122137,0.18472100000000002,0.20432007713132552,1598.8215601829384,0.3151949730759871,1,45.6
2018-03-07,19,16077,589,Employed,High School,0,67549,36,Married,1,Mortgage,336,0.2556452527878322,0,0,0.23723597353643686,0,Auto,0,36,3,3917,561,8133,73198,1339.75,0.899277018929458,6,2305,0.258049,0.2064392,2532.580194405137,2.141130953092097,0,57.0
2018-03-08,18,27010,488,Employed,High School,0,10866,60,Married,1,Rent,232,0.1929027757424213,9,0,0.19529408084782038,0,Auto,1,31,26,5403,833,139282,1352,2250.8333333333335,0.6384481469902996,3,137930,0.271866,0.24629407704223363,316.57500416880185,0.24372084598391786,0,53.0
2018-03-09,48,100631,573,Employed,Doctorate,25,27531,96,Married,2,Other,745,0.6011266214023016,4,2,0.48416839649510146,0,Debt Consolidation,1,16,29,1814,442,57557,44683,8385.916666666666,0.8435728391915697,9,12874,0.276031,0.26880957533808736,700.1972752322587,0.17233623140768853,0,63.0
2018-03-10,31,46775,610,Employed,Bachelor,8,30730,24,Single,4,Mortgage,376,0.041266699498661234,3,1,0.49316073768707674,0,Other,1,24,20,2035,1913,58199,5856,3897.9166666666665,0.8665705442122225,3,52343,0.20073,0.18778268690466912,1545.748327453589,0.4930193464338443,0,57.0
2018-03-11,38,54257,564,Employed,High School,17,21033,72,Married,0,Own,619,0.06071674106737995,3,3,0.2560493572132299,0,Debt Consolidation,0,20,13,2936,890,343849,32599,4521.416666666667,0.7097287482377825,3,311250,0.25403299999999995,0.28561605469918455,613.3862949496806,0.2725664069041076,0,45.0
2018-03-12,37,25809,646,Employed,Bachelor,13,11205,48,Widowed,1,Rent,284,0.41485136052897204,1,1,0.09873665178223497,0,Debt Consolidation,1,27,28,1308,164,242197,16703,2150.75,0.7162610287083072,4,225494,0.183205,0.2046867361940494,343.7764295651787,0.2918872158852394,0,52.0
2018-03-13,38,37324,406,Employed,High School,15,40247,36,Married,1,Other,700,0.1219879898766935,1,0,0.4356384440085822,0,Other,0,33,10,694,90,22477,3791,3110.3333333333335,0.7584245033791074,3,18686,0.32224699999999995,0.3265382309742992,1767.5724054940413,0.7933466098469749,0,56.0
2018-03-14,58,42862,638,Employed,Associate,35,19051,96,Divorced,3,Mortgage,558,0.2838333186002343,6,1,0.3301352828655166,0,Other,0,20,16,9800,168,262869,41077,3571.8333333333335,0.7007139428748795,10,221792,0.235051,0.21279589815139532,414.512150177941,0.2722725444947807,0,48.0
2018-03-15,34,46608,546,Employed,Bachelor,11,12327,96,Married,4,Mortgage,468,0.25391289390223765,2,0,0.28021586665886555,0,Debt Consolidation,0,31,18,2723,831,122975,5079,3884.0,0.7662493038155456,5,117896,0.274327,0.32374944448825943,360.5659249331036,0.2133279930311801,0,49.0
2018-03-16,49,43557,555,Employed,Bachelor,26,33777,60,Single,2,Rent,326,0.5235646630037343,5,0,0.15135412518772165,0,Home,1,22,24,859,652,19398,7535,3629.75,0.8937138277030006,5,11863,0.261277,0.24821749503445256,987.8729976634895,0.36197341350326867,0,58.0
2018-03-17,57,70803,655,Employed,Bachelor,34,17126,48,Married,2,Rent,800,0.17254467448892144,5,1,0.010795294312860018,0,Debt Consolidation,0,28,18,2177,754,13459,106773,5900.25,0.5202368321201185,12,1714,0.184626,0.17241343212990992,496.3124406167083,0.21970466346624437,1,34.4
2018-03-18,50,83867,619,Employed,Bachelor,26,18834,36,Married,0,Mortgage,373,0.23664892131098067,4,0,0.348918900430877,0,Home,1,29,1,3497,2802,23522,7937,6988.916666666667,0.9582927721624512,6,15585,0.194334,0.19049988028065273,690.8555804019285,0.1522203842372225,0,60.0
2018-03-19,25,50246,584,Employed,High School,1,14010,48,Divorced,0,Mortgage,671,0.2011962223704139,3,1,0.35754456264977685,0,Debt Consolidation,0,23,21,1055,413,32195,32491,4187.166666666667,0.826272290750972,2,8795,0.21701,0.2280382251843078,447.5366224725975,0.26713448771387116,0,54.0
2018-03-20,47,168407,609,Employed,High School,24,17299,108,Married,3,Mortgage,181,0.31352744253445985,4,2,0.09129786326760722,0,Debt Consolidation,0,15,22,21511,3820,163903,28800,14033.916666666666,0.8257734604502696,4,135103,0.257799,0.27039230274822523,428.40449587597413,0.043423693495589194,1,32.800000000000004
2018-03-21,29,28788,469,Employed,Doctorate,7,25074,36,Married,0,Mortgage,573,0.5331120831440962,2,1,0.07004558953784693,0,Education,0,23,10,14586,1816,16402,33815,2399.0,0.7394100440149286,6,5529,0.275574,0.24764039530302473,993.8113946998551,0.6531102103792643,0,53.0
2018-03-22,57,52067,650,Employed,Bachelor,31,20534,60,Married,0,Rent,485,0.5710008950551432,2,0,0.30034076522432357,0,Auto,0,26,17,1366,1234,53478,24926,4338.916666666667,0.8979332969728409,2,28552,0.200534,0.1875204790558049,529.8656870489082,0.23389840483582494,0,49.0
2018-03-23,59,167605,525,Employed,High School,38,8030,72,Single,3,Mortgage,243,0.2023815999910522,3,1,0.16920063903812954,0,Auto,0,24,10,3734,1056,69699,9369,13967.083333333334,0.8825599163461391,6,60330,0.26053000000000004,0.25326336315440107,217.9162905817608,0.03300018189780215,1,36.800000000000004
2018-03-24,44,81146,446,Employed,High School,21,38781,48,Divorced,4,Rent,261,0.31895360342894696,3,0,0.10270185307459119,0,Debt Consolidation,0,20,13,2131,3456,135195,84143,4450.333333333333,0.5851558868785344,8,51052,0.310781,0.290919506787162,1375.9415974284689,0.36782449196954586,0,47.0
2018-03-25,62,69876,653,Unemployed,Bachelor,40,12600,72,Single,3,Other,216,0.23359453621959686,3,3,0.4030307925175221,0,Debt Consolidation,0,26,7,361,4671,27290,45598,3602.0833333333335,0.39442518347155303,5,4912,0.2011,0.2141118548610051,312.2004473309959,0.1466374868241053,0,54.0
2018-03-26,61,65351,622,Employed,Master,39,54115,36,Married,1,Rent,209,0.38589778201283736,3,0,0.1683803744042743,0,Debt Consolidation,0,17,29,4558,348,58233,27858,5445.916666666667,0.8414002512190435,5,30375,0.228115,0.20919463793078763,2036.5492792551825,0.4123363276929532,0,47.0
2018-03-27,57,48070,535,Unemployed,High School,33,8765,60,Married,3,Mortgage,447,0.4131357489799871,3,2,0.6205596406411619,0,Debt Consolidation,0,21,16,3638,367,49898,8255,4005.8333333333335,0.8262984376083156,5,41643,0.246265,0.2751256935906474,270.3338365933573,0.17907231202663382,0,63.0
2018-03-28,49,25215,570,Employed,High School,26,33246,36,Married,0,Own,254,0.19192629580509876,1,0,0.2502404341777936,0,Debt Consolidation,0,29,29,2573,298,126245,13404,2101.25,0.8920201736100144,4,112841,0.233246,0.2312241122120945,1289.065496296914,0.7343559768218508,0,49.0
2018-03-29,34,26825,545,Unemployed,High School,11,19023,36,Married,5,Mortgage,1038,0.6620331624713902,4,2,0.7126184081066914,0,Home,0,26,15,5912,5285,46202,15057,2235.4166666666665,0.6336866677607671,4,31145,0.231523,0.21851751329153374,725.0388614000142,0.7886846723877045,0,65.0
2018-03-30,22,116858,549,Self-Employed,Bachelor,0,72337,60,Divorced,0,Mortgage,203,0.09725842503653483,4,1,0.5337896282573078,0,Home,0,19,23,4484,547,140167,22980,9738.166666666666,0.9632443434563454,2,117187,0.30283699999999997,0.306896782218671,2371.083930250694,0.2643294182940691,0,53.0
2018-03-31,44,65127,549,Unemployed,Doctorate,21,18821,48,Married,1,Own,236,0.28010041703511823,8,1,0.1635828400781623,0,Debt Consolidation,0,23,24,578,197,29240,223654,5427.25,0.6701989317995277,3,8004,0.239321,0.22585134874662954,598.970817197597,0.15384786350317323,1,42.400000000000006
